it,start,end,latency,execution,sol
533,12196634,12530851,334217,39327,1
534,12216134,12550707,334573,39487,1
535,12235773,12570495,334722,39290,1
536,12255282,12590052,334770,39132,1
537,12274865,12609594,334729,39009,1
538,12294338,12629251,334913,39244,1
539,12313931,12648858,334927,39069,1
540,12333399,12668522,335123,39258,1
541,12353000,12688026,335026,39131,1
542,12372632,12707736,335104,39317,1
543,12392245,12727321,335076,39652,1
544,12412320,12746681,334361,39073,1
545,12432040,12766377,334337,39372,1
546,12451721,12786061,334340,39149,1
547,12471194,12805590,334396,39474,1
548,12491147,12825148,334001,39255,1
549,12510850,12844745,333895,39408,1
550,12530669,12864366,333697,39435,1
551,12550489,12884073,333584,39490,1
552,12570279,12903637,333358,39107,1
553,12589828,12923320,333492,39290,1
554,12609443,12942902,333459,39227,1
555,12629096,12962633,333537,39283,1
556,12648656,12982144,333488,39186,1
557,12668338,13001545,333207,38886,1
558,12687831,13021443,333612,39614,1
559,12707556,13041285,333729,39381,1
560,12727103,13060935,333832,39093,1
561,12746554,13080882,334328,39647,1
562,12766260,13100627,334367,39324,1
563,12785846,13120415,334569,39312,1
564,12805378,13140379,335001,39575,1
565,12824996,13160270,335274,39469,1
566,12844581,13179673,335092,39067,1
567,12864252,13199223,334971,39187,1
568,12883897,13218868,334971,39223,1
569,12903482,13238588,335106,39387,1
570,12923155,13258129,334974,39128,1
571,12942750,13277676,334926,39203,1
572,12962410,13297238,334828,39086,1
573,12981941,13316890,334949,39057,1
574,13001355,13336481,335126,39562,1
575,13021333,13356015,334682,39237,1
576,13041043,13375615,334572,39293,1
577,13060742,13395311,334569,39624,1
578,13080676,13415004,334328,39445,1
579,13100433,13434436,334003,39195,1
580,13120202,13453914,333712,39421,1
581,13140151,13473579,333428,39530,1
582,13160022,13493255,333233,39172,1
583,13179524,13512740,333216,39043,1
584,13199088,13532277,333189,39126,1
585,13218684,13551908,333224,39283,1
586,13238343,13571544,333201,39226,1
587,13257939,13591231,333292,39218,1
588,13277476,13610973,333497,39362,1
589,13297102,13630771,333669,39379,1
590,13316689,13650442,333753,39253,1
591,13336279,13669868,333589,39004,1
592,13355865,13689747,333882,39493,1
593,13375485,13709551,334066,39405,1
594,13395094,13729388,334294,39546,1
595,13414810,13749382,334572,39414,1
596,13434238,13769141,334903,39284,1
597,13453771,13788714,334943,39218,1
598,13473424,13808147,334723,38997,1
599,13492995,13827706,334711,39088,1
600,13512530,13847255,334725,39095,1
601,13532082,13866809,334727,39158,1
602,13551692,13886329,334637,39211,1
603,13571391,13906034,334643,39357,1
604,13591051,13925553,334502,39276,1
605,13610815,13945137,334322,39301,1
606,13630538,13964701,334163,39242,1
607,13650223,13984368,334145,39220,1
608,13669782,14004097,334315,39511,1
609,13689570,14023499,333929,39168,1
610,13709342,14043047,333705,39498,1
611,13729298,14062547,333249,39410,1
612,13749215,14082227,333012,39425,1
613,13768966,14101659,332693,38962,1
614,13788514,14121229,332715,39039,1
615,13807991,14140891,332900,39173,1
616,13827527,14160574,333047,39211,1
617,13847062,14180089,333027,38995,1
618,13866549,14199591,333042,39119,1
619,13886171,14219912,333741,39979,1
620,13905837,14239717,333880,39348,1
621,13925387,14259353,333966,39110,1
622,13944868,14279301,334433,39617,1
623,13964545,14299226,334681,39596,1
624,13984222,14318978,334756,39404,1
625,14003880,14339015,335135,39551,1
626,14023399,14358806,335407,39192,1
627,14042808,14378366,335558,39122,1
628,14062374,14397926,335552,39200,1
629,14082019,14417622,335603,39213,1
