iteration,actor,exectime
588,D1,50111
588,D2,50091
589,D1,50531
589,D2,50531
590,D1,50244
590,D2,50244
591,D1,50284
591,D2,50278
592,D1,50440
592,D2,50439
593,D1,50169
593,D2,50455
594,D1,50451
594,D2,50317
595,D1,50407
595,D2,50407
596,D1,50303
596,D2,50303
597,D1,50449
597,D2,50449
598,D1,50338
598,D2,50338
599,D1,50330
599,D2,50320
600,D1,50457
600,D2,50372
601,D1,50339
601,D2,50339
602,D1,50416
602,D2,50416
603,D1,50240
603,D2,50319
604,D1,50417
604,D2,50417
605,D1,50295
605,D2,50295
606,D1,50308
606,D2,50162
607,D1,50169
607,D2,50169
608,D1,50358
608,D2,50358
609,D1,50247
609,D2,50297
610,D1,50283
610,D2,50283
611,D1,50100
611,D2,50124
612,D1,50268
612,D2,50208
613,D1,50298
613,D2,50298
614,D1,50387
614,D2,50387
615,D1,50416
615,D2,50450
616,D1,50503
616,D2,50503
617,D1,50321
617,D2,50321
618,D1,50448
618,D2,50437
619,D1,50403
619,D2,50403
620,D1,50550
620,D2,50550
621,D1,50379
621,D2,50315
622,D1,50471
622,D2,50493
623,D1,50417
623,D2,50417
624,D1,50281
624,D2,50281
625,D1,50250
625,D2,50250
626,D1,50419
626,D2,50419
627,D1,50275
627,D2,50275
628,D1,50410
628,D2,50410
629,D1,50501
629,D2,50501
630,D1,50272
630,D2,50272
