iteration,start,end,latency,execution
436,18366573,18479351,112778,82953
437,18407613,18523769,116156,87103
438,18450349,18567761,117412,84795
439,18491228,18611643,120415,86427
440,18533863,18654963,121100,85789
441,18576381,18699989,123608,87576
442,18618990,18742978,123988,83885
443,18659933,18789058,129125,89042
444,18702950,18831468,128518,83388
445,18743987,18875451,131464,86747
446,18786803,18920625,133822,86320
447,18828013,18965709,137696,87824
448,18870800,19009689,138889,85011
449,18911901,19053967,142066,86826
450,18954538,19100202,145664,88843
451,18997222,19143830,146608,86266
452,19039923,19190510,150587,89225
453,19082540,19236545,154005,88622
454,19125189,19282315,157126,86632
455,19166141,19325655,159514,86449
456,19209314,19371591,162277,88557
457,19252013,19416791,164778,87717
458,19294569,19462729,168160,86806
459,19335507,19508774,173267,88505
460,19378015,19554974,176959,87240
461,19419130,19601042,181912,88662
462,19461820,19645816,183996,87451
463,19504559,19692561,188002,89355
464,19547237,19739056,191819,89146
465,19589950,19786044,196094,89650
466,19632659,19831434,198775,86386
467,19673730,19879334,205604,90769
468,19716657,19926042,209385,87573
469,19757610,19970371,212761,87097
470,19800429,20018756,218327,89294
471,19841388,20066711,225323,90472
472,19883967,20114296,230329,90233
473,19926659,20160722,234063,87308
474,19967587,20208677,241090,89477
475,20009186,20254956,245770,88846
476,20051817,20303995,252178,91488
477,20094347,20349936,255589,88669
478,20137118,20397004,259886,88045
479,20178170,20445035,266865,90927
480,20221108,20494006,272898,89988
481,20262200,20542978,280778,91570
482,20304862,20591515,286653,89643
483,20346056,20640046,293990,91115
484,20388703,20686294,297591,87396
485,20429919,20737222,307303,93242
486,20472468,20784491,312023,89984
487,20515249,20834730,319481,92853
488,20557949,20883652,325703,91393
489,20600495,20932589,332094,91575
490,20643513,20982519,339006,91759
491,20989878,21128150,138272,179267
492,21030923,21169495,138572,82699
493,21072329,21219795,147466,92808
494,21114896,21262764,147868,85635
495,21157620,21308639,151019,86714
496,21198553,21351046,152493,84703
497,21240933,21395027,154094,86702
498,21283737,21437539,153802,85153
499,21326463,21483398,156935,88525
500,21369186,21525547,156361,84765
501,21411886,21567723,155837,84666
502,21454436,21610647,156211,83972
503,21495570,21651856,156286,84221
504,21538637,21693886,155249,84756
505,21581438,21735304,153866,83945
506,21624001,21777538,153537,83287
507,21665153,21819747,154594,84714
508,21707720,21861626,153906,82987
509,21748913,21904074,155161,84971
510,21791504,21946759,155255,85363
511,21834266,21988180,153914,84051
512,21876953,22030033,153080,84559
513,21919731,22071429,151698,83970
514,21962339,22113465,151126,83144
515,22003529,22154687,151158,84337
516,22046719,22196986,150267,83369
517,22087928,22238201,150273,83849
518,22130611,22280217,149606,82985
519,22171653,22321506,149853,83764
520,22214163,22362960,148797,82431
521,22255213,22405155,149942,84913
522,22297989,22447806,149817,83460
523,22338883,22490214,151331,84998
524,22381529,22531374,149845,83693
525,22424130,22572506,148376,83730
526,22466762,22614608,147846,83091
527,22507820,22655834,148014,83801
528,22550426,22697977,147551,82958
529,22591305,22739400,148095,84033
530,22633948,22781430,147482,83088
531,22675082,22823632,148550,84703
532,22717644,22864830,147186,82307
533,22758818,22907182,148364,84770
534,22801292,22949766,148474,83324
535,22842101,22991205,149104,82934
536,22883659,23033253,149594,84686
537,22926374,23074620,148246,83957
538,22969000,23116321,147321,82696
539,23010073,23159081,149008,85907
540,23053281,23201080,147799,82971
541,23094338,23249112,154774,90646
542,23137034,23291295,154261,84798
543,23179734,23333449,153715,84636
544,23222297,23376296,153999,85550
545,23265085,23417673,152588,83907
546,23307671,23459501,151830,84456
547,23350377,23500860,150483,83938
548,23392992,23543141,150149,83482
549,23434271,23585398,151127,84847
550,23476921,23628226,151305,83764
551,23517940,23669488,151548,84382
552,23561117,23711190,150073,84426
553,23603933,23754035,150102,85829
554,23646976,23796204,149228,83036
555,23687934,23839455,151521,86034
556,23730787,23882297,151510,85335
557,23773364,23924534,151170,84932
558,23816131,23966609,150478,84729
559,23858839,24007842,149003,82033
560,23899678,24049640,149962,82914
561,23940874,24090364,149490,83367
562,23983565,24133090,149525,83726
563,24024635,24180291,155656,90171
564,24067664,24222623,154959,84969
565,24110383,24263416,153033,83249
566,24152874,24306033,153159,83665
567,24194006,24348948,154942,85484
568,24236635,24391244,154609,83167
569,24277580,24433243,155663,84614
570,24320276,24475397,155121,84849
571,24363056,24517637,154581,84673
572,24405570,24559825,154255,84913
573,24448380,24602536,154156,85219
574,24490970,24643779,152809,83946
575,24533734,24686071,152337,85444
576,24576960,24727233,150273,83934
577,24619771,24769372,149601,83268
578,24660974,24810565,149591,83930
579,24703747,24852815,149068,83381
580,24744949,24893998,149049,83623
581,24787427,24936056,148629,83174
582,24828613,24977492,148879,83900
583,24871135,25019742,148607,83406
584,24912348,25061741,149393,82846
585,24953270,25104169,150899,84102
586,24995049,25145806,150757,84260
587,25037734,25187251,149517,84602
588,25080958,25230036,149078,85305
589,25123537,25271389,147852,82272
590,25164510,25313680,149170,84769
591,25207065,25356047,148982,84937
592,25249696,25398193,148497,83177
593,25290802,25441661,150859,86065
594,25333481,25483183,149702,84168
595,25376190,25524833,148643,84280
596,25418890,25567753,148863,85574
597,25461604,25610464,148860,83681
598,25502655,25651649,148994,83846
599,25545377,25693639,148262,85269
600,25588723,25735014,146291,84014
601,25631399,25776310,144911,82235
602,25672403,25818371,145968,84722
603,25715122,25860688,145566,83236
604,25756099,25902887,146788,84913
605,25798869,25943944,145075,81844
606,25839696,25985330,145634,82890
607,25881276,26026585,145309,83792
608,25923847,26067599,143752,82089
609,25964990,26108926,143936,84119
610,26007815,26151022,143207,83121
611,26048911,26192084,143173,83808
612,26091692,26233377,141685,82421
613,26132890,26275363,142473,84676
614,26175640,26316518,140878,82200
615,26216745,26357761,141016,83887
616,26259450,26400283,140833,84974
617,26301970,26448701,146731,89445
618,26343067,26490608,147541,84505
619,26385736,26533347,147611,85216
620,26428272,26575546,147274,83281
621,26469439,26617620,148181,84718
622,26512163,26660532,148369,85408
623,26554745,26703112,148367,85706
624,26597952,26744824,146872,84205
625,26640505,26786462,145957,84239
626,26683169,26827289,144120,83478
627,26725856,26868590,142734,82301
628,26766919,26911483,144564,85524
629,26809598,26955788,146190,85335
630,26850682,26998010,147328,84920
631,26893457,27040558,147101,85169
632,26936153,27083089,146936,83732
633,26977439,27124483,147044,84084
634,27020184,27165770,145586,83891
635,27062856,27206779,143923,84142
636,27106044,27248003,141959,82222
637,27147113,27290215,143102,84853
638,27189812,27331114,141302,82012
639,27231002,27373788,142786,85295
640,27273679,27415424,141745,82454
641,27314543,27457186,142643,83296
642,27356140,27498670,142530,84148
643,27398840,27540228,141388,82674
644,27440017,27582514,142497,84868
645,27482647,27623546,140899,82132
646,27523799,27665807,142008,84442
647,27566053,27706864,140811,84237
648,27609267,27748081,138814,82268
649,27650385,27789162,138777,83754
650,27693092,27830387,137295,82118
651,27734065,27872618,138553,84971
652,27776850,27914862,138012,83129
653,27817877,27965522,147645,93302
654,27860600,28008035,147435,85133
655,27903293,28049864,146571,84462
656,27945995,28092142,146147,84907
657,27988700,28134131,145431,84598
658,28031391,28176337,144946,84703
659,28073960,28219665,145705,86378
660,28117091,28262710,145619,85719
661,28159839,28305908,146069,85737
662,28202432,28348087,145655,84787
663,28245127,28390529,145402,85058
664,28287802,28432195,144393,82816
665,28329014,28473591,144577,84100
666,28371783,28515743,143960,84655
667,28414335,28560435,146100,85691
668,28455415,28602914,147499,85056
669,28498065,28644930,146865,84507
670,28540637,28687548,146911,85204
671,28583307,28729046,145739,84586
672,28626451,28770801,144350,84315
673,28669083,28812318,143235,84206
674,28711807,28853995,142188,82832
675,28753034,28896920,143886,85578
676,28795747,28938020,142273,82225
677,28836933,28979173,142240,83782
678,28879625,29021917,142292,85228
679,28922159,29066581,144422,85517
680,28963094,29107875,144781,83898
681,29005761,29148991,143230,83776
682,29048485,29190246,141761,84001
683,29091269,29231196,139927,82220
684,29132603,29273906,141303,85407
685,29175348,29319556,144208,86691
686,29216443,29361659,145216,84716
687,29259213,29404124,144911,84916
688,29301832,29445775,143943,82549
689,29342790,29487321,144531,84000
690,29385320,29529207,143887,84563
691,29428044,29571637,143593,83317
692,29468999,29613687,144688,84702
693,29511725,29655877,144152,84692
694,29554309,29698123,143814,84848
695,29596986,29739074,142088,84096
696,29640182,29780431,140249,84010
697,29682904,29821485,138581,83672
698,29725554,29862983,137429,82545
699,29766668,29905350,138682,85082
700,29809430,29946935,137505,82485
701,29850397,29990298,139901,86031
702,29893140,30032375,139235,83973
